ticker,score
GLW,1.8755193970186848
MU,1.8574081114685892
LITE,1.7749759320611176
TER,1.7486746358197627
ODFL,1.712667056589415
AMAT,1.6988224521564463
COHR,1.6695403194047662
FCX,1.6274691820494058
LRCX,1.6175572845300863
FIX,1.5644529551443462
LUV,1.5340356841023541
VRT,1.5151344439968308
CCL,1.4847283791549426
MRNA,1.4686497644051222
KLAC,1.4633504101705532
EXE,1.4379554754604091
MPWR,1.3935275490872305
ON,1.3915190610736836
URI,1.3890535192068576
APP,1.3797317276938799
CF,1.3749939230402062
FDX,1.3746540348424272
EL,1.3546946321018694
KEYS,1.3227742326530778
GE,1.3198253714144337
BLK,1.3112384732690623
SATS,1.3039090158109978
STX,1.295070513536506
TSLA,1.2838104362812477
XYZ,1.2837204481241822
CIEN,1.2834814406746826
CVNA,1.2749382473014637
FITB,1.2718655749135346
MPC,1.2555330488499372
UAL,1.2511669027607675
EMR,1.2402959120776176
NRG,1.2277795779582699
DOW,1.2168762059964642
MOS,1.2168555115722817
AME,1.2121327305616794
DVN,1.2081005680078072
VLO,1.2076381831012188
AZO,1.2004190310526255
ALB,1.1948572607190375
MCHP,1.1915872517218518
WDC,1.1863305382022364
SMCI,1.1845731771391164
CAT,1.170801325623816
INTC,1.1657883121198411
ADI,1.160682232072647
C,1.1505078085658218
OTIS,1.1415293335463508
SNDK,1.1375749488478282
NEM,1.1361093937544289
WAT,1.119338640560281
TFC,1.1184229432136894
VRTX,1.114550698879528
NCLH,1.1136985724977928
COIN,1.1129800460423984
MS,1.1110170957122318
GS,1.107646938211138
CTRA,1.1056348666956575
NXPI,1.1029732315487049
GEV,1.098045545129138
ROK,1.0855096105067599
APA,1.079780920411276
CMI,1.0650571380520901
SLB,1.061191474238046
CRH,1.058150237689827
MLM,1.056112364195132
CARR,1.0560233374948673
FSLR,1.0521019917137169
APH,1.0507594046957947
PSX,1.0502166544741716
RCL,1.045852987185224
TEL,1.0444514190604506
DG,1.0373607241139093
DELL,1.018191115056068
DE,1.0178704001857175
FICO,1.011488753119005
EQT,1.0077273674171578
WFC,0.9975207680788385
UPS,0.9869633657163505
TXN,0.9761880008306558
AMD,0.9684944102911819
PAYX,0.9653728533329277
LYB,0.9623722673466049
JCI,0.9534643423308712
USB,0.9529735261535219
GIS,0.9529230414550762
AXON,0.9491014740680424
LOW,0.9489809490663541
RF,0.9461531593756338
FISV,0.9447827092146971
REGN,0.9410689850313042
GM,0.9364330833633094
DAL,0.9319347187857472
UNP,0.9299349626494587
KEY,0.9292672500939905
COF,0.928388240839125
ARES,0.9278788803669401
ORCL,0.9270055808257192
BA,0.9267442264094161
T,0.9188703927281524
QCOM,0.9166791246958744
AXP,0.9165976359826327
IBKR,0.9164602454749555
SHW,0.9145344164119723
ADSK,0.9132680350623211
NVDA,0.9096176310463863
NKE,0.9087891263426332
BAC,0.9056014405285523
OXY,0.9017018708896595
PNC,0.901151590498598
DLTR,0.8967181492740744
MMM,0.8916570520559998
JBL,0.8905476067426279
CMG,0.8887080565308191
TT,0.8866025180614066
ZTS,0.8811604684271206
HD,0.8677511099713794
KR,0.8661866873535361
ROP,0.8656971796712853
GOOG,0.8652291153975372
EOG,0.8636178831610626
PWR,0.8523053319016072
TRGP,0.8399973861553057
GOOGL,0.8387252292902037
PH,0.8350452783213502
AVGO,0.8349296766232768
HOOD,0.825427207225104
HPE,0.8195545917461773
F,0.817902185992507
PCAR,0.8163057751410027
COR,0.8123637170371354
DASH,0.8093385389258666
CSX,0.8013353224597358
CEG,0.7996076952329756
TDG,0.7971558430542712
DIS,0.7971540377262891
MCK,0.7959653979718164
ADP,0.795445840383783
NFLX,0.7920109094241027
AMGN,0.7902749014341155
DHI,0.7891087983622396
ABT,0.7822284082474357
OMC,0.7820532857153554
DRI,0.7805174270994288
META,0.7745982191722656
GILD,0.771923975782053
ETN,0.7659067613257003
AIG,0.7654759359442074
DHR,0.7632623212386919
AMZN,0.7631936401466498
IBM,0.7575817334776108
KKR,0.756745970376018
ACN,0.7539280758703608
DDOG,0.752951446748778
WDAY,0.7522224289216715
PLTR,0.7508021872751552
BX,0.7485396831467097
JPM,0.745403610330278
EXPE,0.7416392046933843
INTU,0.7390432492756159
NSC,0.7370949239984754
UNH,0.7260841261573889
COP,0.7171991780348459
MCO,0.7099515736219485
CPRT,0.7084753143577217
LHX,0.7080397144948131
ABBV,0.7073837319705532
ECL,0.7067583918696806
VRSK,0.7038348426930298
CTVA,0.7036932236567874
CVS,0.7033242950537131
NOW,0.7001140645231734
PANW,0.6995334194448035
NOC,0.6993957102023103
ELV,0.6932919401778198
MRK,0.6919031883571045
TTWO,0.6908206751230818
ANET,0.6886763065408257
VMC,0.6750308832661035
HON,0.673599752905847
CTSH,0.671949893418172
TMO,0.6672931419601789
TTD,0.6632260433195765
VST,0.6620744302478143
LULU,0.6607927046152348
FANG,0.6568059772622625
MAR,0.6532147621546035
TGT,0.6415961810558758
